iter	RMSE
0	639921.8579
1	623414.1773
2	605962.8824
3	589825.8617
4	574828.9361
5	563388.4493
6	550863.3143
7	539222.9423
8	527349.5889
9	517160.0712
10	509865.4793
11	500113.7978
12	490933.7682
13	483215.0818
14	477031.1458
15	470419.1575
16	463645.3807
17	458197.0439
18	452496.369
19	447871.0101
20	443371.9797
21	439173.6454
22	434407.5769
23	430142.135
24	427132.0042
25	423790.8768
26	420903.3745
27	418523.4384
28	415327.4714
29	412878.2477
30	410392.578
31	407963.9327
32	405836.1484
33	404380.5587
34	402059.8691
35	400818.0784
36	399697.8542
37	398086.8119
38	396176.773
39	394990.8927
40	393775.9434
41	392131.0368
42	390556.5997
43	389536.0162
44	389198.933
45	388144.1484
46	387143.1105
47	385904.2193
48	384349.3071
49	383517.1551
50	382626.7365
51	381431.9366
52	380437.5265
53	379559.8155
54	378919.7525
55	377936.3494
56	377379.3252
57	376866.5455
58	375784.3968
59	374942.8326
60	374122.6587
61	373089.694
62	372616.2766
63	371958.979
64	371467.782
65	370508.7741
66	369087.7965
67	368510.2418
68	367166.7198
69	366787.6771
70	366056.2234
71	364880.0096
72	364435.7492
73	364086.7774
74	363698.4851
75	362776.5608
76	362399.9068
77	361827.9806
78	361492.7052
79	360652.4335
80	359301.5745
81	358741.0021
82	358681.376
83	358205.7622
84	357456.3207
85	357211.4614
86	356554.7223
87	356462.7001
88	356072.0738
89	355711.8363
90	355628.2553
91	355009.8949
92	354626.135
93	353112.2379
94	352587.9302
95	352325.7215
96	352140.2908
97	351310.5213
98	350972.2491
99	350535.5965
100	350191.4364
101	349919.2821
102	349413.389
103	348919.1273
104	348432.6635
105	348374.4407
106	348181.689
107	347770.3786
108	347591.4272
109	347346.6959
110	346822.6036
111	346659.0463
112	346348.1353
113	346129.1149
114	345974.2842
115	345524.1564
116	345398.5833
117	344216.3708
118	343542.2552
119	342654.6447
120	342159.915
121	341823.751
122	341209.1476
123	340879.9707
124	340657.5864
125	340152.6812
126	339931.0855
127	339700.5235
128	338775.1483
129	338775.1471
130	338300.9746
131	337924.6827
132	337890.9492
133	337664.7794
134	337648.9779
135	337474.8932
136	337327.5499
137	336841.5779
138	336251.7944
139	335524.5455
140	334523.3162
141	334410.2219
142	333546.0193
143	333434.1304
144	333198.6682
145	332815.9676
146	332464.1354
147	331870.1365
148	331626.083
149	331357.344
150	331226.1226
151	330968.3003
152	330789.919
153	330716.4661
154	329720.1559
155	329404.9957
156	329057.5427
157	328279.1578
158	328076.9455
159	327855.2526
160	327752.2649
161	327557.8351
162	326536.0579
163	326076.6176
164	325688.1302
165	325478.2517
166	325174.7684
167	324931.4659
168	324841.2654
169	324359.6253
170	323877.439
171	323698.9926
172	323563.5587
173	323313.0505
174	322823.8558
175	322715.437
176	322283.6753
177	321663.8534
178	321181.6542
179	320711.4058
180	320289.2743
181	320052.4945
182	319488.4114
183	318802.0458
184	318555.098
185	317862.8707
186	317579.6506
187	317500.8912
188	317304.3232
189	316503.2036
190	316003.0222
191	315770.9737
192	315209.842
193	314781.7555
194	314604.0557
195	314356.4622
196	314135.989
197	313699.4557
198	313367.578
199	313002.6947
200	312787.0537
201	312195.4251
202	311672.9802
203	311471.1485
204	310993.1208
205	310480.2998
206	310300.5476
207	309970.5335
208	309791.1447
209	309325.2384
210	308937.7151
211	308684.8305
212	308600.8166
213	308320.8266
214	308025.0035
215	307472.6696
216	307050.8161
217	306906.6234
218	306707.0324
219	306562.3675
220	306248.9235
221	305999.705
222	305772.6724
223	305616.2612
224	305016.3182
225	304774.1674
226	304332.0169
227	304165.265
228	303960.6125
229	303665.4942
230	303154.0554
231	302991.0821
232	302491.0071
233	302138.2845
234	301974.5174
235	301657.0381
236	301366.533
237	300855.3723
238	300725.4641
239	300374.3974
240	300223.7387
241	299761.5959
242	299333.237
243	299068.2601
244	298852.2143
245	298405.5183
246	298156.1231
247	297980.5163
248	297768.8957
249	297337.566
250	297238.1887
251	297088.5487
252	296738.2089
253	296395.2342
254	295995.5656
255	295901.0725
256	295484.5762
257	295397.0976
258	295154.5091
259	294815.5674
260	294670.0174
261	294449.5254
262	294096.4435
263	293838.0335
264	293559.3873
265	293308.0089
266	293033.0907
267	292814.6833
268	292702.3969
269	292646.3657
270	292235.3017
271	292122.3188
272	291759.8753
273	291612.7711
274	291391.0785
275	291126.5766
276	290945.6923
277	290797.4504
278	290554.3186
279	290471.1091
280	290339.6841
281	290231.6385
282	290030.6871
283	289810.8155
284	289617.0685
285	289555.0876
286	289386.1078
287	289134.2406
288	288817.3392
289	288634.8136
290	288274.2253
291	288015.9389
292	287883.6792
293	287618.3526
294	287187.8894
295	286868.9605
296	286703.7405
297	286394.9148
298	286278.5046
299	286209.8166
300	286133.0465
301	286002.6329
302	285821.5085
303	285716.3978
304	285397.6637
305	285243.7346
306	285047.4256
307	284982.7468
308	284843.5732
309	284729.1769
310	284514.2266
311	284487.6427
312	284265.6907
313	284108.2185
314	284028.8992
315	283929.1812
316	283731.9018
317	283506.1981
318	283337.0159
319	283213.9357
320	283035.4199
321	282721.5491
322	282667.3985
323	282547.9303
324	282293.7959
325	282040.2887
326	281904.0696
327	281779.3831
328	281679.3838
329	281566.1131
330	281457.917
331	281303.3293
332	281177.5224
333	281131.3533
334	281062.6894
335	280918.2613
336	280757.6089
337	280634.0656
338	280385.2121
339	280317.5961
340	280295.2471
341	280115.6027
342	279797.9422
343	279681.506
344	279541.0612
345	279510.4399
346	279425.0268
347	279214.5432
348	279125.6242
349	279040.7016
350	278849.5445
351	278796.7586
352	278601.0968
353	278462.6583
354	278439.1713
355	278243.0443
356	278107.5363
357	277995.8374
358	277916.435
359	277895.5317
360	277685.5431
361	277627.0633
362	277545.6524
363	277419.8934
364	277304.2086
365	277240.9761
366	277142.4038
367	277115.6382
368	277051.68
369	276993.5003
370	276868.3928
371	276636.9515
372	276568.4557
373	276267.5441
374	276202.2122
375	276119.8637
376	276000.6819
377	275957.9488
378	275753.0962
379	275672.1892
380	275592.7401
381	275526.24
382	275445.9244
383	275365.6855
384	275332.5234
385	275132.3322
386	275073.2277
387	274890.3284
388	274683.567
389	274615.2108
390	274559.0426
391	274495.9432
392	274408.9396
393	274266.8558
394	274224.4007
395	274122.3734
396	274063.2422
397	274002.1614
398	273904.5105
399	273727.4072
400	273639.1091
401	273609.8707
402	273577.5054
403	273502.3062
404	273412.4364
405	273368.3364
406	273281.4665
407	273216.9212
408	273162.1878
409	273077.7586
410	273051.6745
411	272981.5474
412	272888.184
413	272810.4901
414	272759.5461
415	272599.9144
416	272426.5577
417	272243.3228
418	272105.1615
419	272064.7566
420	272052.6019
421	272037.4108
422	272010.004
423	271941.5612
424	271909.8516
425	271828.9521
426	271808.6786
427	271756.6116
428	271708.2901
429	271461.612
430	271319.1402
431	271257.9481
432	271190.7288
433	271150.8797
434	271104.3831
435	271084.607
436	270988.7064
437	270813.012
438	270730.8637
439	270699.8122
440	270651.0346
441	270475.3823
442	270319.8443
443	270240.0976
444	270211.3882
445	270198.386
446	270139.8174
447	270106.3032
448	270078.6068
449	270042.6006
450	269980.0094
451	269828.4235
452	269722.131
453	269647.783
454	269515.2892
455	269410.9692
456	269199.0206
457	269096.8316
458	269035.5116
459	268997.3055
460	268922.513
461	268898.9328
462	268879.7087
463	268820.3931
464	268757.2548
465	268672.5014
466	268603.6821
467	268594.5843
468	268517.4207
469	268397.7082
470	268287.4477
471	268237.1734
472	268213.4358
473	268146.6076
474	268081.2721
475	268020.4304
476	267963.9089
477	267870.2797
478	267847.9034
479	267742.474
480	267718.6622
481	267590.2635
482	267432.1285
483	267407.9416
484	267338.4155
485	267210.7987
486	267131.4829
487	266915.9886
488	266903.0964
489	266881.474
490	266849.2234
491	266835.7989
492	266791.9385
493	266716.0098
