iter	Passed	Remaining
0	3	3842
1	8	4006
2	13	4459
3	18	4698
4	23	4592
5	27	4504
6	31	4524
7	35	4432
8	40	4455
9	45	4498
10	49	4415
11	53	4421
12	57	4386
13	61	4355
14	65	4299
15	72	4430
16	77	4452
17	80	4383
18	84	4337
19	88	4334
20	92	4305
21	97	4341
22	102	4362
23	106	4337
24	110	4325
25	117	4384
26	121	4388
27	127	4415
28	131	4408
29	136	4419
30	141	4433
31	147	4449
32	151	4454
33	156	4457
34	164	4527
35	169	4542
36	175	4558
37	180	4563
38	184	4548
39	190	4561
40	193	4531
41	198	4521
42	202	4503
43	207	4499
44	209	4435
45	216	4486
46	220	4470
47	225	4468
48	229	4460
49	234	4449
50	239	4458
51	244	4453
52	248	4432
53	253	4441
54	258	4437
55	264	4453
56	270	4479
57	276	4488
58	282	4505
59	288	4524
60	296	4564
61	302	4582
62	309	4608
63	314	4601
64	321	4628
65	327	4637
66	333	4644
67	339	4654
68	345	4656
69	349	4648
70	355	4652
71	359	4639
72	364	4622
73	369	4620
74	374	4615
75	378	4603
76	383	4602
77	389	4600
78	393	4591
79	399	4588
80	404	4587
81	408	4578
82	410	4540
83	416	4543
84	421	4535
85	426	4533
86	430	4519
87	432	4481
88	437	4477
89	445	4500
90	447	4473
91	452	4468
92	457	4458
93	461	4444
94	466	4445
95	472	4448
96	478	4449
97	482	4443
98	486	4426
99	490	4415
100	496	4417
101	501	4411
102	505	4405
103	515	4445
104	520	4436
105	522	4410
106	526	4392
107	530	4380
108	534	4368
109	539	4363
110	543	4354
111	548	4346
112	553	4341
113	557	4329
114	561	4319
115	565	4308
116	569	4296
117	573	4286
118	578	4281
119	582	4272
120	587	4269
121	592	4266
122	597	4260
123	603	4261
124	608	4260
125	614	4259
126	618	4253
127	623	4247
128	628	4241
129	629	4212
130	634	4210
131	640	4211
132	643	4195
133	648	4192
134	651	4174
135	655	4167
136	660	4158
137	665	4156
138	670	4154
139	675	4147
140	680	4142
141	684	4133
142	688	4126
143	695	4136
144	698	4118
145	703	4115
146	707	4107
147	713	4104
148	717	4096
149	721	4087
150	726	4082
151	730	4076
152	735	4072
153	739	4064
154	744	4060
155	749	4052
156	754	4050
157	758	4042
158	763	4036
159	767	4031
160	773	4029
161	781	4040
162	787	4042
163	796	4061
164	801	4057
165	807	4055
166	819	4085
167	825	4087
168	836	4111
169	843	4119
170	854	4141
171	860	4141
172	866	4143
173	874	4151
174	881	4157
175	886	4152
176	892	4150
177	897	4145
178	903	4143
179	908	4140
180	914	4138
181	918	4130
182	924	4126
183	929	4122
184	935	4119
185	940	4114
186	945	4109
187	950	4104
188	955	4099
189	960	4094
190	965	4089
191	971	4089
192	977	4088
193	983	4086
194	987	4078
195	992	4072
196	998	4068
197	1002	4061
198	1007	4055
199	1013	4053
200	1019	4052
201	1024	4046
202	1028	4038
203	1034	4034
204	1038	4028
205	1044	4027
206	1050	4023
207	1055	4017
208	1059	4011
209	1065	4008
210	1071	4006
211	1076	3999
212	1083	4004
213	1089	4002
214	1095	3998
215	1099	3990
216	1104	3984
217	1109	3980
218	1114	3973
219	1119	3968
220	1123	3961
221	1128	3956
222	1132	3946
223	1137	3940
224	1143	3937
225	1148	3933
226	1155	3934
227	1160	3929
228	1165	3924
229	1170	3917
230	1175	3912
231	1180	3908
232	1186	3904
233	1191	3900
234	1195	3893
235	1200	3886
236	1205	3879
237	1210	3875
238	1215	3870
239	1219	3862
240	1225	3860
241	1232	3860
242	1237	3855
243	1241	3847
244	1246	3842
245	1251	3835
246	1256	3832
247	1261	3825
248	1266	3820
249	1270	3812
250	1274	3803
251	1280	3800
252	1286	3797
253	1291	3791
254	1295	3784
255	1301	3782
256	1309	3785
257	1314	3780
258	1319	3775
259	1325	3771
260	1330	3766
261	1335	3762
262	1340	3756
263	1344	3749
264	1349	3742
265	1353	3734
266	1358	3728
267	1362	3722
268	1367	3716
269	1372	3711
270	1381	3717
271	1387	3712
272	1392	3709
273	1398	3704
274	1402	3697
275	1407	3691
276	1411	3684
277	1417	3681
278	1422	3676
279	1427	3670
280	1432	3664
281	1438	3662
282	1444	3658
283	1448	3651
284	1452	3644
285	1457	3638
286	1462	3632
287	1467	3626
288	1472	3622
289	1477	3617
290	1482	3612
291	1487	3606
292	1492	3600
293	1497	3595
294	1502	3590
295	1507	3584
296	1510	3575
297	1515	3569
298	1520	3565
299	1525	3559
300	1529	3552
301	1535	3549
302	1541	3546
303	1547	3542
304	1551	3535
305	1555	3527
306	1560	3521
307	1565	3516
308	1569	3509
309	1574	3505
310	1579	3499
311	1584	3493
312	1589	3488
313	1593	3481
314	1597	3474
315	1602	3468
316	1606	3461
317	1610	3454
318	1617	3453
319	1622	3448
320	1627	3442
321	1633	3439
322	1639	3435
323	1644	3431
324	1649	3426
325	1654	3421
326	1659	3415
327	1664	3410
328	1670	3406
329	1674	3400
330	1679	3394
331	1684	3388
332	1688	3382
333	1693	3376
334	1697	3370
335	1701	3363
336	1707	3358
337	1712	3354
338	1717	3348
339	1722	3343
340	1725	3334
341	1730	3329
342	1736	3325
343	1739	3317
344	1744	3312
345	1748	3305
346	1753	3299
347	1757	3293
348	1762	3288
349	1767	3282
350	1771	3275
351	1775	3268
352	1780	3262
353	1784	3256
354	1789	3251
355	1794	3245
356	1799	3241
357	1806	3238
358	1811	3234
359	1816	3229
360	1821	3223
361	1825	3217
362	1831	3213
363	1836	3209
364	1841	3203
365	1846	3197
366	1850	3191
367	1855	3186
368	1860	3181
369	1864	3175
370	1869	3169
371	1874	3165
372	1879	3160
373	1887	3158
374	1893	3155
375	1899	3151
376	1902	3144
377	1908	3140
378	1913	3135
379	1918	3130
380	1923	3125
381	1929	3121
382	1934	3117
383	1938	3109
384	1945	3107
385	1950	3102
386	1955	3098
387	1961	3093
388	1966	3088
389	1970	3082
390	1976	3078
391	1981	3074
392	1986	3068
393	1992	3064
394	1996	3058
395	2002	3053
396	2008	3050
397	2014	3046
398	2018	3040
399	2023	3035
400	2028	3030
401	2033	3024
402	2037	3017
403	2041	3012
404	2046	3006
405	2050	2999
406	2054	2992
407	2057	2986
408	2063	2981
409	2066	2973
410	2071	2968
411	2075	2962
412	2080	2957
413	2085	2951
414	2091	2948
415	2096	2943
416	2100	2937
417	2106	2933
418	2110	2927
419	2116	2922
420	2121	2917
421	2126	2912
422	2131	2907
423	2137	2903
424	2141	2897
425	2145	2890
426	2150	2885
427	2155	2880
428	2162	2878
429	2168	2874
430	2173	2869
431	2177	2863
432	2182	2857
433	2188	2853
434	2193	2849
435	2197	2842
436	2202	2837
437	2208	2833
438	2213	2828
439	2218	2823
440	2222	2817
441	2227	2812
442	2232	2807
443	2239	2804
444	2245	2800
445	2250	2795
446	2256	2791
447	2263	2788
448	2268	2783
449	2272	2777
450	2278	2773
451	2283	2768
452	2289	2764
453	2294	2759
454	2299	2754
455	2304	2749
456	2309	2743
457	2314	2739
458	2319	2734
459	2324	2728
460	2329	2723
461	2333	2717
462	2338	2712
463	2343	2707
464	2348	2702
465	2354	2697
466	2358	2691
467	2364	2687
468	2369	2682
469	2374	2677
470	2378	2671
471	2383	2666
472	2388	2660
473	2392	2655
474	2399	2651
475	2404	2646
476	2409	2642
477	2415	2638
478	2420	2632
479	2425	2628
480	2430	2622
481	2435	2617
482	2439	2611
483	2444	2605
484	2450	2602
485	2455	2596
486	2460	2591
487	2466	2587
488	2470	2581
489	2473	2574
490	2479	2570
491	2484	2565
492	2490	2561
493	2494	2555
494	2498	2549
495	2502	2543
496	2507	2538
497	2511	2531
498	2516	2526
499	2520	2520
500	2526	2515
501	2533	2512
502	2538	2508
503	2544	2504
504	2550	2500
505	2556	2495
506	2565	2494
507	2572	2491
508	2580	2489
509	2588	2486
510	2597	2485
511	2603	2481
512	2610	2478
513	2617	2474
514	2623	2470
515	2632	2468
516	2638	2465
517	2644	2460
518	2651	2457
519	2657	2453
520	2665	2450
521	2672	2447
522	2678	2442
523	2685	2439
524	2692	2436
525	2698	2431
526	2708	2430
527	2715	2427
528	2723	2424
529	2731	2422
530	2739	2419
531	2745	2415
532	2751	2410
533	2758	2407
534	2767	2405
535	2773	2400
536	2780	2397
537	2786	2392
538	2791	2387
539	2795	2381
540	2802	2377
541	2806	2371
542	2810	2365
543	2815	2360
544	2820	2354
545	2825	2349
546	2829	2343
547	2834	2337
548	2839	2332
549	2844	2327
550	2848	2321
551	2853	2316
552	2859	2311
553	2865	2306
554	2870	2301
555	2875	2296
556	2879	2290
557	2883	2283
558	2888	2278
559	2892	2273
560	2897	2267
561	2902	2262
562	2907	2257
563	2912	2251
564	2916	2245
565	2924	2242
566	2929	2237
567	2935	2232
568	2940	2227
569	2946	2222
570	2951	2217
571	2956	2212
572	2961	2206
573	2966	2201
574	2970	2195
575	2975	2190
576	2980	2185
577	2986	2180
578	2990	2174
579	2995	2169
580	2999	2163
581	3004	2158
582	3009	2152
583	3014	2147
584	3017	2140
585	3022	2135
586	3028	2130
587	3034	2125
588	3038	2120
589	3043	2114
590	3047	2108
591	3054	2104
592	3058	2099
593	3063	2093
594	3068	2088
595	3073	2083
596	3078	2078
597	3084	2073
598	3088	2067
599	3096	2064
600	3101	2059
601	3107	2054
602	3110	2048
603	3115	2042
604	3119	2036
605	3124	2031
606	3129	2026
607	3135	2021
608	3139	2015
609	3144	2010
610	3148	2004
611	3153	1999
612	3159	1994
613	3163	1988
614	3168	1983
615	3174	1978
616	3179	1973
617	3184	1968
618	3189	1963
619	3194	1957
620	3198	1952
621	3204	1947
622	3207	1941
623	3212	1935
624	3216	1929
625	3220	1924
626	3226	1919
627	3231	1914
628	3236	1908
629	3241	1903
630	3245	1898
631	3250	1892
632	3255	1887
633	3259	1881
634	3263	1875
635	3268	1870
636	3272	1864
637	3277	1859
638	3281	1853
639	3286	1848
640	3290	1842
641	3298	1839
642	3304	1834
643	3308	1829
644	3313	1823
645	3318	1818
646	3322	1812
647	3326	1807
648	3331	1801
649	3336	1796
650	3340	1790
651	3346	1785
652	3349	1780
653	3354	1774
654	3360	1770
655	3365	1764
656	3369	1759
657	3375	1754
658	3380	1749
659	3385	1743
660	3395	1741
661	3408	1740
662	3412	1734
663	3419	1730
664	3424	1725
665	3429	1719
666	3433	1714
667	3438	1708
668	3443	1703
669	3448	1698
670	3453	1693
671	3457	1687
672	3462	1682
673	3467	1677
674	3471	1671
675	3476	1666
676	3480	1660
677	3485	1655
678	3490	1650
679	3494	1644
680	3499	1639
681	3505	1634
682	3509	1629
683	3514	1623
684	3518	1617
685	3523	1612
686	3527	1607
687	3532	1602
688	3537	1596
689	3541	1591
690	3546	1586
691	3551	1580
692	3556	1575
693	3561	1570
694	3571	1567
695	3576	1562
696	3582	1557
697	3587	1552
698	3593	1547
699	3598	1542
700	3604	1537
701	3609	1532
702	3614	1527
703	3620	1522
704	3624	1516
705	3629	1511
706	3635	1506
707	3639	1501
708	3644	1495
709	3649	1490
710	3654	1485
711	3660	1480
712	3664	1475
713	3668	1469
714	3673	1464
715	3678	1459
716	3684	1454
717	3689	1449
718	3694	1444
719	3699	1438
720	3702	1432
721	3707	1427
722	3712	1422
723	3716	1416
724	3720	1411
725	3725	1406
726	3731	1401
727	3737	1396
728	3743	1391
729	3746	1385
730	3752	1380
731	3757	1375
732	3762	1370
733	3767	1365
734	3771	1359
735	3776	1354
736	3781	1349
737	3786	1344
738	3790	1338
739	3795	1333
740	3801	1328
741	3806	1323
742	3812	1318
743	3817	1313
744	3821	1308
745	3827	1303
746	3832	1297
747	3836	1292
748	3841	1287
749	3846	1282
750	3851	1277
751	3856	1271
752	3862	1267
753	3866	1261
754	3872	1256
755	3877	1251
756	3884	1246
757	3889	1241
758	3894	1236
759	3899	1231
760	3904	1226
761	3911	1221
762	3916	1216
763	3919	1210
764	3924	1205
765	3929	1200
766	3935	1195
767	3940	1190
768	3947	1185
769	3953	1180
770	3959	1175
771	3963	1170
772	3968	1165
773	3973	1160
774	3977	1154
775	3981	1149
776	3987	1144
777	3993	1139
778	3998	1134
779	4003	1129
780	4009	1124
781	4015	1119
782	4019	1113
783	4023	1108
784	4027	1103
785	4032	1097
786	4036	1092
787	4041	1087
788	4046	1082
789	4051	1077
790	4056	1071
791	4062	1066
792	4066	1061
793	4072	1056
794	4078	1051
795	4083	1046
796	4088	1041
797	4093	1036
798	4098	1030
799	4102	1025
800	4108	1020
801	4113	1015
802	4117	1010
803	4122	1005
804	4127	999
805	4132	994
806	4137	989
807	4141	984
808	4145	978
809	4149	973
810	4153	967
811	4158	962
812	4162	957
813	4168	952
814	4171	946
815	4180	942
816	4186	937
817	4190	932
818	4196	927
819	4202	922
820	4207	917
821	4214	912
822	4219	907
823	4225	902
824	4231	897
825	4235	892
826	4240	887
827	4245	881
828	4249	876
829	4254	871
830	4257	865
831	4262	860
832	4267	855
833	4272	850
834	4277	845
835	4282	840
836	4287	834
837	4291	829
838	4296	824
839	4300	819
840	4304	813
841	4308	808
842	4313	803
843	4317	798
844	4321	792
845	4327	787
846	4332	782
847	4336	777
848	4340	772
849	4345	766
850	4350	761
851	4354	756
852	4359	751
853	4364	746
854	4368	740
855	4374	735
856	4378	730
857	4383	725
858	4387	720
859	4390	714
860	4396	709
861	4401	704
862	4405	699
863	4410	694
864	4415	689
865	4420	684
866	4425	678
867	4430	673
868	4434	668
869	4439	663
870	4444	658
871	4449	653
872	4453	647
873	4459	642
874	4462	637
875	4467	632
876	4472	627
877	4478	622
878	4485	617
879	4492	612
880	4500	607
881	4504	602
882	4510	597
883	4515	592
884	4521	587
885	4526	582
886	4530	577
887	4536	572
888	4543	567
889	4548	562
890	4554	557
891	4558	551
892	4565	547
893	4572	542
894	4578	537
895	4588	532
896	4594	527
897	4602	522
898	4607	517
899	4614	512
900	4621	507
901	4628	502
902	4632	497
903	4638	492
904	4644	487
905	4649	482
906	4653	477
907	4658	472
908	4664	466
909	4668	461
910	4674	456
911	4679	451
912	4684	446
913	4689	441
914	4695	436
915	4699	430
916	4705	425
917	4711	420
918	4715	415
919	4719	410
920	4723	405
921	4729	400
922	4733	394
923	4739	389
924	4746	384
925	4751	379
926	4756	374
927	4761	369
928	4767	364
929	4774	359
930	4779	354
931	4785	349
932	4789	343
933	4795	338
934	4801	333
935	4808	328
936	4813	323
937	4819	318
938	4823	313
939	4827	308
940	4833	303
941	4837	297
942	4842	292
943	4847	287
944	4852	282
945	4859	277
946	4863	272
947	4868	267
948	4872	261
949	4877	256
950	4881	251
951	4885	246
952	4889	241
953	4894	236
954	4898	230
955	4903	225
956	4907	220
957	4910	215
958	4916	210
959	4921	205
960	4926	199
961	4930	194
962	4934	189
963	4939	184
964	4944	179
965	4950	174
966	4956	169
967	4960	163
968	4965	158
969	4970	153
970	4976	148
971	4980	143
972	4984	138
973	4989	133
974	4994	128
975	4999	122
976	5005	117
977	5009	112
978	5015	107
979	5020	102
980	5025	97
981	5030	92
982	5035	87
983	5039	81
984	5043	76
985	5049	71
986	5054	66
987	5058	61
988	5062	56
989	5067	51
990	5072	46
991	5077	40
992	5083	35
993	5088	30
994	5094	25
995	5099	20
996	5104	15
997	5109	10
998	5114	5
999	5120	0
