iter	RMSE
0	641895.7862
1	627447.5429
2	613260.8216
3	600254.6884
4	587899.587
5	575939.4484
6	565747.9296
7	553896.5654
8	542113.6967
9	532136.985
10	521222.731
11	511874.7243
12	504318.57
13	497773.3754
14	491359.0929
15	484733.7097
16	478765.2731
17	472491.7097
18	467572.195
19	462890.3376
20	457165.1814
21	453526.9114
22	448893.8257
23	444912.6436
24	441760.4634
25	438587.9556
26	435824.612
27	434371.0578
28	431192.3587
29	429262.5938
30	427172.4814
31	424898.938
32	423397.3392
33	421906.3995
34	420341.5088
35	418840.7784
36	417496.1741
37	416166.2534
38	414589.1132
39	413508.6999
40	412625.1138
41	411245.735
42	409982.8411
43	408441.2486
44	407225.4315
45	406142.2131
46	404921.8007
47	403611.4825
48	402734.8697
49	401865.3355
50	401074.12
51	399750.1918
52	398665.2663
53	398604.6076
54	397610.1071
55	397298.6168
56	396543.1347
57	396024.6803
58	395217.0877
59	394498.3654
60	393751.4055
61	393561.4201
62	393134.8146
63	392584.3955
64	391943.8663
65	391494.7479
66	391032.2557
67	389952.3145
68	389392.0256
69	388732.0996
70	387934.1344
71	387510.353
72	387220.4008
73	386906.7148
74	386756.4302
75	386469.325
76	386118.8763
77	385773.9773
78	385337.2627
79	385148.7737
80	384462.3151
81	383551.2666
82	383279.9076
83	382748.1478
84	382678.347
85	382429.734
86	382151.645
87	381912.8804
88	381642.6679
89	381324.4988
90	380784.4291
91	380196.1652
92	379805.3429
93	379409.8746
94	378906.5079
95	378308.2374
96	377798.4217
97	377577.6341
98	377235.5182
99	376999.6177
100	376616.1441
101	376296.9208
102	376172.5911
103	376013.3774
104	375743.062
105	375534.1664
106	375151.0361
107	375005.6099
108	374975.4354
109	374852.8875
110	374542.8038
111	374354.8323
112	374331.6409
113	374142.4457
114	373798.2274
115	373624.1271
116	373563.2836
117	373488.2217
118	373488.2208
119	373045.3824
120	372804.796
121	372804.796
122	372506.397
123	372306.7323
124	372076.7886
125	372056.6124
126	371595.663
127	371503.8932
128	371382.355
129	371210.5328
130	371085.9777
131	371042.3319
132	370944.441
133	370944.441
134	370868.6445
135	370535.7377
136	370426.2244
137	370405.7303
138	370278.7167
139	370062.0001
140	369962.7355
141	369700.6341
142	369562.2668
143	369212.5029
144	369137.4332
145	368877.635
146	368777.8562
147	368630.8401
148	368524.9408
149	368523.9934
