iter	Passed	Remaining
0	8	8254
1	12	6042
2	15	5312
3	22	5648
4	28	5575
5	32	5441
6	38	5460
7	42	5301
8	46	5070
9	49	4935
10	53	4829
11	57	4709
12	63	4800
13	67	4781
14	72	4760
15	78	4830
16	82	4788
17	87	4769
18	90	4691
19	95	4699
20	100	4672
21	104	4632
22	109	4668
23	114	4659
24	119	4651
25	124	4652
26	128	4622
27	131	4570
28	135	4549
29	141	4566
30	144	4514
31	150	4558
32	155	4561
33	160	4567
34	167	4612
35	173	4635
36	179	4684
37	186	4713
38	190	4701
39	195	4703
40	200	4693
41	204	4667
42	210	4678
43	214	4666
44	219	4654
45	223	4642
46	228	4625
47	232	4613
48	237	4607
49	242	4598
50	246	4587
51	251	4588
52	256	4576
53	257	4516
54	262	4516
55	266	4488
56	270	4483
57	276	4490
58	280	4466
59	284	4455
60	289	4449
61	294	4459
62	299	4447
63	302	4420
64	307	4422
65	313	4434
66	317	4424
67	322	4417
68	327	4413
69	331	4410
70	335	4392
71	339	4374
72	342	4354
73	346	4341
74	350	4321
75	357	4348
76	361	4331
77	366	4328
78	369	4312
79	376	4325
80	380	4319
81	385	4319
82	391	4320
83	394	4306
84	397	4276
85	401	4265
86	404	4249
87	409	4239
88	412	4222
89	419	4239
90	426	4262
91	433	4277
92	437	4271
93	446	4307
94	453	4323
95	466	4389
96	474	4413
97	481	4429
98	485	4419
99	494	4454
100	501	4463
101	506	4462
102	511	4455
103	517	4455
104	522	4451
105	530	4473
106	535	4470
107	541	4473
108	544	4453
109	548	4435
110	551	4417
111	558	4426
112	561	4406
113	565	4394
114	573	4411
115	578	4409
116	582	4399
117	588	4396
118	591	4380
119	595	4365
120	598	4348
121	599	4317
122	611	4360
123	620	4383
124	627	4393
125	630	4370
126	635	4369
127	643	4385
128	648	4379
129	658	4404
130	662	4392
131	667	4389
132	674	4394
133	675	4365
134	678	4349
135	684	4348
136	690	4349
137	693	4329
138	696	4313
139	702	4313
140	707	4307
141	710	4293
142	718	4305
143	726	4319
144	734	4332
145	741	4338
146	748	4341
147	753	4335
148	759	4338
149	761	4314
150	767	4318
151	775	4324
152	787	4360
153	806	4431
154	812	4430
155	816	4417
156	818	4396
157	822	4382
158	827	4375
159	831	4365
160	836	4356
161	840	4346
162	845	4342
163	849	4330
164	853	4321
165	858	4310
166	863	4305
167	866	4289
168	869	4274
169	874	4268
170	878	4258
171	881	4245
172	887	4242
173	893	4240
174	898	4236
175	904	4233
176	909	4228
177	915	4225
178	919	4219
179	924	4213
180	930	4211
181	936	4209
182	941	4203
183	946	4198
184	950	4188
185	954	4179
186	961	4180
187	966	4176
188	973	4175
189	979	4175
190	981	4155
191	986	4151
192	990	4140
193	995	4135
194	1002	4137
195	1006	4126
196	1011	4121
197	1017	4123
198	1023	4119
199	1028	4114
200	1033	4109
201	1038	4103
202	1042	4094
203	1047	4086
204	1051	4076
205	1057	4077
206	1063	4074
207	1068	4068
208	1073	4061
209	1079	4059
210	1083	4050
211	1089	4048
212	1093	4040
213	1098	4034
214	1102	4024
215	1107	4018
216	1112	4014
217	1117	4008
218	1123	4006
219	1128	4001
220	1132	3992
221	1137	3985
222	1142	3980
223	1145	3969
224	1149	3960
225	1154	3954
226	1159	3948
227	1164	3944
228	1169	3935
229	1173	3928
230	1177	3920
231	1182	3915
232	1188	3913
233	1194	3910
234	1198	3901
235	1204	3897
236	1208	3891
237	1213	3886
238	1220	3885
239	1224	3878
240	1228	3870
241	1235	3870
242	1242	3871
243	1251	3877
244	1257	3874
245	1261	3866
246	1267	3864
247	1274	3864
248	1279	3859
249	1290	3872
250	1294	3864
251	1301	3862
252	1307	3861
253	1311	3852
254	1318	3851
255	1324	3848
256	1328	3839
257	1334	3838
258	1341	3837
259	1345	3829
260	1351	3827
261	1356	3822
262	1362	3816
263	1369	3817
264	1373	3810
265	1378	3803
266	1385	3802
267	1388	3793
268	1393	3786
269	1399	3783
270	1403	3776
271	1407	3766
272	1412	3761
273	1417	3755
274	1421	3748
275	1426	3741
276	1432	3737
277	1438	3735
278	1442	3726
279	1449	3726
280	1453	3718
281	1457	3709
282	1465	3712
283	1493	3764
284	1505	3776
285	1513	3778
286	1520	3777
287	1527	3775
288	1536	3779
289	1542	3777
290	1553	3785
291	1558	3777
292	1561	3768
293	1567	3764
294	1571	3756
295	1576	3748
296	1591	3766
297	1600	3769
298	1609	3773
299	1614	3766
300	1620	3763
301	1629	3766
302	1641	3775
303	1646	3770
304	1652	3765
305	1656	3757
306	1661	3749
307	1666	3743
308	1670	3734
309	1678	3736
310	1688	3739
311	1693	3733
312	1700	3732
313	1705	3725
314	1710	3719
315	1715	3712
316	1719	3705
317	1726	3703
318	1733	3701
319	1738	3695
320	1743	3688
321	1747	3678
322	1751	3671
323	1757	3667
324	1761	3657
325	1765	3650
326	1769	3641
327	1777	3641
328	1784	3639
329	1789	3632
330	1793	3624
331	1797	3617
332	1801	3607
333	1805	3599
334	1810	3593
335	1816	3589
336	1821	3584
337	1828	3581
338	1833	3575
339	1838	3568
340	1841	3559
341	1845	3551
342	1852	3547
343	1858	3543
344	1863	3538
345	1869	3533
346	1873	3526
347	1878	3520
348	1885	3516
349	1891	3512
350	1895	3504
351	1900	3498
352	1905	3491
353	1909	3484
354	1915	3479
355	1920	3473
356	1924	3467
357	1930	3461
